,Unnamed: 0,COD,DO,EC,NO3,N2,TSS,TEMP,PH
610,610,"((1, 2, 1), (0, 0, 0, 12), 180.41427811366583)","((0, 2, 0), (1, 1, 1, 12), 148.7698724143089)","((2, 0, 0), (0, 0, 1, 12), 608.76415732349)","((1, 2, 2), (0, 2, 0, 12), 61.694016899582884)","((1, 2, 2), (0, 2, 0, 12), 117.08689968650502)","((1, 0, 1), (0, 1, 0, 12), 544.3958407028629)","((2, 2, 2), (0, 0, 0, 12), 209.84817089225882)","((0, 2, 0), (1, 1, 0, 12), 116.62639998925371)"
611,611,"((2, 2, 0), (0, 0, 1, 12), 180.49569303147985)","((2, 0, 2), (0, 2, 0, 12), 149.0183623035573)","((0, 1, 0), (0, 0, 1, 12), 610.2019658028265)","((2, 1, 2), (0, 2, 0, 12), 62.14418605137428)","((1, 1, 2), (0, 2, 0, 12), 117.74212542712075)","((2, 2, 0), (1, 0, 1, 12), 545.3711410140833)","((1, 0, 2), (0, 0, 0, 12), 209.89660460790037)","((2, 1, 0), (0, 2, 0, 12), 117.65666027034254)"
612,612,"((0, 2, 0), (2, 0, 2, 12), 180.7813217774341)","((2, 0, 1), (0, 2, 0, 12), 149.04683208833927)","((0, 2, 1), (1, 0, 0, 12), 613.29095049117)","((0, 2, 0), (2, 1, 0, 12), 62.151086535148025)","((2, 0, 1), (0, 2, 0, 12), 117.8736695919034)","((0, 2, 1), (0, 1, 0, 12), 545.4251012069075)","((1, 2, 0), (1, 0, 1, 12), 210.5970488027264)","((0, 2, 2), (0, 2, 0, 12), 117.66709500538809)"
613,613,"((0, 2, 1), (0, 2, 0, 12), 181.01623473247025)","((1, 0, 1), (0, 2, 0, 12), 149.28254335099243)","((0, 1, 0), (0, 1, 0, 12), 613.4070764883787)","((0, 2, 0), (2, 1, 1, 12), 62.299322957659236)","((2, 1, 1), (0, 2, 0, 12), 118.91191373787244)","((0, 1, 0), (1, 0, 0, 12), 545.4265251704135)","((0, 2, 1), (0, 2, 0, 12), 210.82909043661581)","((0, 1, 1), (0, 2, 0, 12), 117.69976699745139)"
614,614,"((2, 2, 0), (1, 0, 1, 12), 181.03209281913547)","((1, 0, 0), (0, 2, 0, 12), 149.58339828317764)","((1, 2, 0), (0, 1, 0, 12), 615.9184613185855)","((1, 2, 0), (1, 1, 0, 12), 63.19709936002503)","((2, 1, 2), (0, 2, 0, 12), 119.21771454480775)","((2, 0, 0), (0, 1, 0, 12), 545.6411093178083)","((2, 0, 1), (0, 0, 0, 12), 210.91377778767819)","((2, 0, 2), (0, 2, 0, 12), 118.14260405663525)"
615,615,"((0, 2, 0), (1, 1, 0, 12), 181.09809255694927)","((1, 0, 0), (0, 0, 0, 12), 150.6051372196536)","((0, 1, 0), (1, 0, 0, 12), 616.3951834152098)","((0, 2, 0), (2, 1, 2, 12), 64.229376422271)","((0, 2, 0), (1, 2, 0, 12), 119.37245645339003)","((1, 0, 0), (1, 0, 1, 12), 545.7088432124967)","((2, 0, 2), (0, 0, 0, 12), 211.11834000620908)","((1, 1, 2), (0, 2, 0, 12), 118.4911310772453)"
616,616,"((1, 2, 1), (0, 2, 0, 12), 181.29512381291136)","((2, 1, 0), (0, 2, 0, 12), 152.30849977154045)","((1, 0, 0), (0, 0, 1, 12), 620.9205044674172)","((2, 2, 2), (0, 2, 0, 12), 64.2629226425797)","((0, 2, 1), (0, 1, 0, 12), 119.47371770543633)","((0, 0, 2), (0, 0, 1, 12), 545.993118563313)","((0, 0, 1), (1, 0, 0, 12), 211.9080747399979)","((2, 0, 0), (0, 2, 0, 12), 118.84618481088967)"
617,617,"((2, 2, 1), (0, 2, 0, 12), 181.31049537289198)","((2, 2, 1), (0, 2, 0, 12), 155.61632824981544)","((0, 0, 2), (0, 0, 1, 12), 647.9882046593243)","((1, 2, 0), (2, 0, 0, 12), 64.32018936032193)","((1, 1, 0), (0, 2, 0, 12), 124.24951837822456)","((1, 2, 1), (0, 1, 0, 12), 546.6090973080202)","((1, 0, 1), (0, 0, 0, 12), 211.91155894809225)","((1, 1, 1), (0, 2, 0, 12), 118.90927827277959)"
618,618,"((0, 2, 0), (2, 0, 1, 12), 181.5843204594997)","((0, 2, 0), (1, 1, 0, 12), 156.30349572864444)","((0, 2, 0), (0, 0, 1, 12), 654.056935575187)","((0, 2, 0), (0, 1, 2, 12), 64.80290337036767)","((2, 1, 0), (0, 2, 0, 12), 124.54919147313203)","((2, 0, 1), (0, 1, 0, 12), 546.6822887781753)","((0, 1, 0), (0, 2, 0, 12), 213.0537909648893)","((1, 0, 1), (0, 2, 0, 12), 119.07153477200902)"
619,619,"((1, 1, 0), (0, 2, 0, 12), 181.89849090208057)","((2, 2, 2), (0, 2, 0, 12), 156.58269996506738)","((0, 2, 0), (1, 0, 1, 12), 656.0810334405595)","((1, 2, 0), (1, 0, 2, 12), 65.09465306032558)","((1, 2, 0), (0, 0, 1, 12), 124.62584806152393)","((2, 2, 0), (0, 0, 1, 12), 552.1483600329907)","((1, 1, 0), (0, 0, 0, 12), 213.1999119989272)","((0, 2, 0), (0, 0, 1, 12), 119.27703750730589)"
