,Unnamed: 0,COD,DO,EC,NO3,N2,TSS,TEMP,PH
122,122,"((0, 1, 1), (2, 1, 2, 12), 91.13638338869917)","((0, 2, 2), (2, 2, 2, 12), 66.7463582065728)","((1, 1, 2), (2, 1, 2, 12), 340.8202745338308)","((1, 0, 1), (2, 0, 1, 12), 10.13639450659348)","((2, 0, 2), (0, 0, 2, 12), 63.36694801210382)","((0, 2, 0), (2, 2, 2, 12), 244.90778117242598)","((0, 0, 0), (0, 1, 2, 12), 95.97294121933047)","((0, 1, 1), (2, 2, 2, 12), 39.02394606752575)"
123,123,"((1, 0, 1), (2, 1, 0, 12), 91.18058639543477)","((2, 0, 1), (1, 1, 2, 12), 66.891437570828)","((2, 1, 2), (0, 1, 2, 12), 340.9778022489263)","((2, 0, 2), (0, 1, 1, 12), 10.24719709815276)","((0, 1, 2), (2, 2, 2, 12), 63.37612693304534)","((0, 2, 0), (2, 2, 0, 12), 251.8804643087307)","((2, 0, 2), (2, 1, 0, 12), 96.22570555218508)","((1, 1, 0), (0, 1, 2, 12), 39.0320064160624)"
124,124,"((2, 0, 0), (0, 1, 2, 12), 91.35462301134169)","((0, 1, 2), (2, 2, 2, 12), 66.9337997805976)","((2, 2, 1), (2, 1, 0, 12), 341.38368698429224)","((0, 1, 1), (2, 0, 2, 12), 10.284445785112894)","((0, 1, 0), (1, 2, 2, 12), 63.399955504211654)","((0, 2, 0), (2, 2, 1, 12), 253.4806152959779)","((0, 0, 1), (1, 1, 2, 12), 96.42837118752651)","((2, 0, 1), (1, 1, 2, 12), 39.16270160310573)"
125,125,"((1, 0, 1), (1, 1, 2, 12), 91.36536274117573)","((0, 1, 1), (2, 1, 2, 12), 67.00911520220922)","((0, 1, 2), (1, 1, 2, 12), 342.1209207348888)","((2, 0, 1), (1, 0, 2, 12), 10.321938769934453)","((1, 1, 2), (2, 1, 0, 12), 63.404442236467105)","((0, 2, 2), (0, 1, 2, 12), 300.53150041138394)","((2, 1, 0), (2, 1, 1, 12), 96.68221024927976)","((1, 0, 2), (2, 1, 1, 12), 39.175743302937555)"
126,126,"((1, 1, 1), (0, 1, 2, 12), 91.44899139891459)","((2, 0, 1), (2, 1, 1, 12), 67.01646039775366)","((2, 2, 1), (2, 1, 1, 12), 342.185876144597)","((1, 0, 2), (2, 0, 1, 12), 10.324177024933022)","((1, 1, 2), (2, 1, 2, 12), 63.536764534078124)","((0, 2, 2), (1, 1, 2, 12), 302.960290319123)","((0, 1, 1), (2, 1, 2, 12), 96.86610578594278)","((2, 0, 1), (2, 0, 0, 12), 39.193117675106734)"
127,127,"((0, 0, 1), (2, 1, 2, 12), 91.60382315143747)","((2, 1, 1), (2, 1, 0, 12), 67.0195354592508)","((1, 2, 1), (1, 1, 2, 12), 342.21557939221117)","((2, 1, 2), (0, 1, 1, 12), 10.344554751858166)","((0, 2, 2), (0, 0, 2, 12), 63.56141529361468)","((1, 2, 2), (0, 1, 2, 12), 303.54575009408035)","((2, 0, 0), (0, 1, 2, 12), 96.9128712842389)","((0, 0, 0), (2, 1, 2, 12), 39.21361003776066)"
128,128,"((1, 0, 0), (1, 1, 2, 12), 91.66445623033023)","((1, 2, 0), (0, 2, 2, 12), 67.0347698421336)","((2, 2, 1), (0, 1, 2, 12), 342.22469840727024)","((0, 0, 1), (1, 0, 0, 12), 10.34565450558359)","((0, 1, 2), (2, 1, 2, 12), 63.60417365621724)","((2, 2, 2), (0, 1, 2, 12), 303.95413931749215)","((2, 0, 1), (0, 1, 2, 12), 96.92234066164546)","((2, 0, 0), (2, 1, 2, 12), 39.265038142149486)"
129,129,"((0, 0, 2), (2, 1, 2, 12), 91.70531942756179)","((1, 2, 1), (0, 1, 2, 12), 67.17537177317878)","((1, 0, 2), (0, 1, 2, 12), 342.46302141294996)","((2, 1, 0), (1, 1, 0, 12), 10.365418117115741)","((1, 2, 2), (1, 2, 2, 12), 63.607288626980065)","((0, 1, 2), (0, 1, 2, 12), 305.7734833665121)","((2, 1, 1), (2, 1, 1, 12), 97.01938941133159)","((0, 1, 1), (2, 0, 0, 12), 39.30842818168581)"
130,130,"((2, 0, 2), (1, 1, 2, 12), 91.71440757055898)","((2, 1, 2), (2, 1, 0, 12), 67.18193077762226)","((1, 1, 2), (1, 1, 2, 12), 342.6208553648451)","((2, 0, 1), (1, 1, 1, 12), 10.36860417630771)","((0, 2, 2), (2, 2, 2, 12), 63.62161656623333)","((1, 2, 2), (1, 1, 2, 12), 306.01491908425277)","((0, 0, 2), (2, 1, 2, 12), 97.02336594105371)","((1, 1, 2), (2, 1, 1, 12), 39.40369859971989)"
131,131,"((2, 0, 0), (2, 1, 1, 12), 91.84308378954294)","((2, 0, 0), (2, 1, 1, 12), 67.3495172135485)","((2, 2, 2), (2, 1, 0, 12), 343.0189595360626)","((1, 0, 0), (1, 0, 0, 12), 10.39432607944525)","((1, 1, 0), (1, 2, 2, 12), 63.686020858659106)","((2, 2, 2), (1, 1, 2, 12), 307.6141408182438)","((1, 1, 2), (0, 1, 2, 12), 97.04147410595927)","((1, 0, 1), (0, 0, 2, 12), 39.41959920504557)"
132,132,"((2, 0, 2), (0, 1, 2, 12), 91.91930414695842)","((2, 0, 1), (2, 2, 2, 12), 67.55044591057208)","((2, 1, 2), (1, 1, 2, 12), 343.37211553404495)","((2, 0, 2), (1, 1, 1, 12), 10.439569814149728)","((1, 0, 2), (1, 0, 2, 12), 63.81372758513716)","((0, 2, 2), (2, 1, 2, 12), 308.3879641351417)","((1, 0, 0), (0, 1, 2, 12), 97.08118523981923)","((2, 2, 1), (0, 1, 2, 12), 39.48626068915494)"
133,133,"((2, 0, 1), (0, 1, 2, 12), 92.22941150758368)","((1, 0, 0), (2, 1, 1, 12), 67.59058289082802)","((1, 2, 1), (2, 1, 2, 12), 344.1244358473239)","((2, 0, 0), (2, 1, 0, 12), 10.473946151307164)","((2, 1, 1), (1, 2, 2, 12), 63.87503111913533)","((0, 1, 2), (1, 1, 2, 12), 308.52921448550654)","((0, 1, 2), (1, 1, 2, 12), 97.25978408471232)","((2, 0, 0), (0, 2, 2, 12), 39.530877826474715)"
134,134,"((0, 0, 0), (2, 1, 1, 12), 92.2314776691084)","((1, 2, 2), (2, 2, 2, 12), 67.59128206232486)","((1, 0, 2), (2, 1, 2, 12), 344.4624311782898)","((2, 0, 0), (2, 0, 1, 12), 10.474454253673498)","((2, 0, 1), (1, 0, 2, 12), 63.908361072169086)","((1, 1, 2), (0, 1, 2, 12), 308.5654609477965)","((1, 2, 2), (0, 1, 2, 12), 97.32849392740945)","((1, 1, 1), (2, 1, 2, 12), 39.54460603750087)"
135,135,"((2, 0, 2), (2, 1, 0, 12), 92.25484938483434)","((2, 2, 2), (1, 2, 2, 12), 67.63192395061651)","((2, 2, 1), (1, 1, 2, 12), 344.4771600656941)","((0, 1, 1), (1, 1, 1, 12), 10.477852771307882)","((0, 1, 1), (0, 0, 1, 12), 63.90875743996209)","((2, 1, 2), (0, 1, 2, 12), 308.83516129299437)","((1, 1, 0), (2, 1, 1, 12), 97.47667154941932)","((1, 1, 2), (2, 0, 2, 12), 39.56678045903286)"
136,136,"((0, 1, 2), (1, 1, 2, 12), 92.33132733667175)","((1, 0, 1), (2, 2, 2, 12), 67.89958268262258)","((2, 1, 2), (2, 1, 2, 12), 344.81591134168053)","((2, 1, 2), (1, 0, 1, 12), 10.483534106435206)","((0, 1, 2), (1, 0, 2, 12), 64.0150236591919)","((0, 1, 2), (2, 1, 2, 12), 309.10209062535586)","((1, 0, 2), (2, 1, 0, 12), 97.56775380667052)","((0, 0, 0), (2, 2, 0, 12), 39.58391857917834)"
137,137,"((0, 2, 2), (0, 1, 2, 12), 92.41349217639967)","((2, 2, 0), (2, 2, 0, 12), 67.91809502437083)","((0, 0, 2), (0, 1, 2, 12), 344.840270673682)","((0, 0, 0), (0, 2, 2, 12), 10.488890877963529)","((0, 1, 2), (2, 1, 1, 12), 64.06117545031921)","((0, 0, 2), (0, 1, 2, 12), 309.3432451249089)","((1, 0, 2), (2, 1, 2, 12), 97.73990851621784)","((2, 1, 2), (1, 0, 2, 12), 39.590448176252934)"
138,138,"((2, 0, 1), (2, 1, 0, 12), 92.63946606672465)","((1, 2, 2), (0, 1, 2, 12), 67.93573656251809)","((2, 1, 0), (2, 1, 0, 12), 344.96414307059587)","((0, 0, 2), (0, 1, 0, 12), 10.526966916123424)","((1, 0, 2), (0, 1, 2, 12), 64.13665738449811)","((2, 1, 2), (1, 1, 2, 12), 311.36476150240856)","((0, 2, 2), (1, 1, 2, 12), 97.78050727465157)","((1, 0, 1), (1, 0, 2, 12), 39.60841178778065)"
139,139,"((2, 1, 1), (2, 1, 0, 12), 92.76335586609244)","((2, 1, 0), (2, 1, 0, 12), 67.97028849558177)","((2, 1, 0), (2, 1, 1, 12), 344.97855325503275)","((0, 0, 2), (1, 0, 2, 12), 10.56092280187384)","((2, 0, 1), (2, 0, 1, 12), 64.15558341458069)","((1, 1, 2), (1, 1, 2, 12), 311.53768835624754)","((2, 0, 1), (2, 1, 0, 12), 97.81454402095103)","((1, 2, 2), (1, 0, 2, 12), 39.663638312596746)"
140,140,"((1, 1, 2), (0, 1, 2, 12), 92.78877974378739)","((1, 1, 1), (2, 1, 2, 12), 68.04584235479182)","((2, 2, 2), (2, 1, 1, 12), 345.13697976344923)","((1, 1, 1), (2, 0, 0, 12), 10.58561412296117)","((2, 1, 1), (0, 0, 2, 12), 64.16483664962976)","((1, 2, 2), (2, 1, 2, 12), 311.5797639782032)","((0, 0, 0), (1, 1, 2, 12), 97.84131280047984)","((0, 1, 2), (2, 1, 2, 12), 39.67342636933368)"
141,141,"((1, 0, 0), (2, 1, 2, 12), 92.9253361619166)","((0, 0, 0), (1, 1, 2, 12), 68.07765361123596)","((2, 0, 2), (0, 1, 2, 12), 345.1757851471577)","((0, 1, 2), (1, 0, 2, 12), 10.586043155219901)","((1, 1, 2), (1, 1, 2, 12), 64.18132709726474)","((0, 0, 2), (1, 1, 2, 12), 312.1694647001736)","((1, 0, 1), (1, 1, 2, 12), 97.92225846360282)","((0, 2, 2), (0, 1, 1, 12), 39.71187926264501)"
142,142,"((0, 1, 2), (2, 1, 2, 12), 93.04269635510484)","((1, 1, 0), (2, 1, 0, 12), 68.08282276838129)","((1, 0, 2), (1, 1, 2, 12), 345.7087928499136)","((2, 1, 0), (1, 1, 2, 12), 10.617711949989486)","((1, 1, 1), (1, 0, 2, 12), 64.20082986533677)","((1, 0, 2), (0, 1, 2, 12), 312.3348938943611)","((0, 1, 2), (2, 1, 2, 12), 98.01815696409793)","((1, 0, 0), (2, 1, 2, 12), 39.75951082308961)"
143,143,"((2, 1, 1), (0, 1, 2, 12), 93.13611179561792)","((1, 1, 0), (1, 1, 2, 12), 68.18759174754557)","((0, 0, 2), (2, 1, 2, 12), 345.7223212733527)","((2, 1, 0), (2, 0, 2, 12), 10.622750160193831)","((2, 1, 2), (0, 1, 2, 12), 64.23875864686707)","((1, 1, 2), (2, 1, 2, 12), 312.4665349105459)","((1, 0, 0), (2, 1, 1, 12), 98.11216897538634)","((2, 0, 2), (2, 2, 0, 12), 39.770837724587665)"
144,144,"((0, 0, 1), (2, 1, 0, 12), 93.18408635351808)","((1, 0, 0), (2, 1, 2, 12), 68.21402066456454)","((2, 2, 1), (2, 1, 2, 12), 345.74116587108597)","((1, 0, 2), (0, 0, 0, 12), 10.643985882279807)","((2, 0, 1), (2, 1, 0, 12), 64.25811235869702)","((0, 1, 1), (0, 1, 2, 12), 313.25080194312864)","((2, 0, 0), (1, 1, 2, 12), 98.18730683639774)","((1, 1, 0), (1, 2, 2, 12), 39.86851740391496)"
145,145,"((1, 0, 1), (2, 1, 1, 12), 93.25030357761884)","((0, 0, 0), (2, 2, 2, 12), 68.22419687383244)","((0, 1, 1), (0, 1, 2, 12), 346.2118476503541)","((2, 0, 1), (1, 0, 0, 12), 10.712628365669522)","((2, 1, 1), (2, 0, 0, 12), 64.26738190583853)","((2, 2, 2), (2, 1, 0, 12), 313.6772455791457)","((1, 2, 1), (0, 1, 2, 12), 98.21710176196633)","((2, 1, 1), (1, 1, 2, 12), 39.96244239786053)"
146,146,"((1, 2, 2), (0, 1, 2, 12), 93.27562878889665)","((2, 2, 0), (1, 2, 2, 12), 68.2704492254344)","((1, 1, 1), (0, 1, 2, 12), 346.50529997972495)","((2, 1, 2), (1, 1, 1, 12), 10.75960049595143)","((1, 1, 1), (2, 1, 2, 12), 64.2733366505157)","((2, 2, 2), (2, 1, 2, 12), 313.80513734542984)","((1, 0, 0), (2, 1, 0, 12), 98.35418414810326)","((1, 2, 2), (1, 2, 2, 12), 39.98112995040966)"
147,147,"((1, 1, 1), (1, 1, 2, 12), 93.56106875880967)","((0, 0, 2), (2, 1, 2, 12), 68.38568302790122)","((2, 1, 1), (0, 1, 2, 12), 346.5194935517319)","((2, 2, 2), (1, 0, 2, 12), 10.764029236213453)","((0, 1, 1), (1, 0, 0, 12), 64.27669755042623)","((2, 2, 1), (0, 1, 2, 12), 314.04989793733205)","((2, 1, 1), (0, 1, 2, 12), 98.36242343533381)","((1, 0, 2), (2, 1, 2, 12), 39.98942623420274)"
148,148,"((2, 1, 0), (2, 1, 0, 12), 93.57751524640256)","((2, 1, 0), (0, 1, 2, 12), 68.42207862500918)","((0, 0, 2), (1, 1, 2, 12), 346.68684470166596)","((0, 0, 1), (2, 0, 2, 12), 10.782754146748477)","((2, 0, 0), (2, 1, 1, 12), 64.37764382668769)","((2, 2, 1), (2, 1, 0, 12), 314.2961314546725)","((2, 0, 2), (2, 1, 1, 12), 98.38323963261399)","((0, 0, 1), (2, 2, 0, 12), 40.04203271941455)"
149,149,"((2, 0, 0), (1, 1, 2, 12), 94.06322097822806)","((0, 0, 1), (2, 1, 0, 12), 68.4423240948103)","((2, 2, 0), (2, 1, 1, 12), 347.4173192146566)","((2, 1, 2), (1, 0, 0, 12), 10.813075516949318)","((0, 0, 1), (2, 1, 2, 12), 64.41566819407983)","((2, 0, 2), (0, 1, 2, 12), 315.3130773602684)","((2, 2, 1), (0, 1, 2, 12), 98.38941967544723)","((0, 1, 0), (0, 2, 2, 12), 40.107764210928714)"
150,150,"((1, 0, 2), (2, 1, 0, 12), 94.06887117661854)","((0, 1, 1), (2, 1, 0, 12), 68.47275726454622)","((2, 1, 1), (2, 1, 0, 12), 347.97182204612255)","((2, 0, 2), (2, 0, 1, 12), 10.837888581765)","((2, 1, 1), (1, 1, 2, 12), 64.41578364583101)","((0, 1, 1), (1, 1, 2, 12), 315.3457381722831)","((2, 1, 1), (2, 1, 0, 12), 98.44180061888996)","((1, 1, 2), (0, 1, 1, 12), 40.1153591737398)"
151,151,"((1, 0, 2), (2, 1, 2, 12), 94.0783776588803)","((1, 2, 0), (2, 2, 2, 12), 68.4937612363384)","((0, 1, 1), (1, 1, 2, 12), 348.04180493568975)","((2, 0, 2), (0, 0, 0, 12), 10.840830112365712)","((0, 1, 1), (2, 0, 2, 12), 64.42077158998762)","((1, 0, 2), (1, 1, 2, 12), 315.35883768225773)","((1, 0, 0), (1, 1, 2, 12), 98.44619324140653)","((1, 1, 2), (1, 1, 2, 12), 40.11676871192181)"
152,152,"((1, 1, 1), (2, 1, 2, 12), 94.30253652499448)","((2, 1, 1), (2, 2, 2, 12), 68.50914595660831)","((2, 1, 1), (2, 1, 1, 12), 348.1651062020747)","((2, 1, 2), (0, 0, 0, 12), 10.86788659245988)","((0, 2, 1), (1, 2, 2, 12), 64.4430184911852)","((0, 0, 2), (2, 1, 2, 12), 315.38283022191587)","((1, 1, 1), (1, 1, 2, 12), 98.45867853489531)","((2, 1, 2), (0, 2, 2, 12), 40.17047090621678)"
153,153,"((2, 0, 0), (2, 1, 2, 12), 94.38578713795184)","((0, 0, 0), (2, 1, 0, 12), 68.76695471800016)","((2, 1, 0), (2, 1, 2, 12), 348.2066684264537)","((0, 1, 1), (2, 0, 1, 12), 10.909283074781001)","((1, 0, 1), (1, 1, 2, 12), 64.54574823811119)","((2, 1, 1), (0, 1, 2, 12), 315.6746696238466)","((1, 1, 0), (2, 1, 0, 12), 98.5705728785935)","((2, 0, 2), (2, 1, 1, 12), 40.18538280086491)"
154,154,"((1, 1, 2), (2, 1, 2, 12), 94.52455493647209)","((0, 1, 2), (2, 1, 2, 12), 68.82166493080734)","((2, 0, 2), (2, 1, 2, 12), 348.2720850893949)","((0, 0, 2), (2, 1, 2, 12), 10.946557349377443)","((2, 1, 1), (2, 1, 1, 12), 64.55880787400577)","((1, 1, 1), (0, 1, 2, 12), 315.98693167114885)","((2, 1, 0), (0, 1, 2, 12), 98.5881656359231)","((2, 0, 1), (2, 1, 2, 12), 40.25744334607389)"
155,155,"((2, 0, 1), (1, 1, 2, 12), 94.56143666827442)","((1, 0, 2), (2, 1, 0, 12), 69.01288409154719)","((1, 1, 1), (1, 1, 2, 12), 348.54301694799045)","((0, 1, 2), (2, 0, 0, 12), 10.94794824331552)","((1, 0, 1), (2, 0, 2, 12), 64.58860696464245)","((0, 0, 1), (0, 1, 2, 12), 316.1884659790424)","((1, 0, 1), (2, 1, 0, 12), 98.6382232327103)","((2, 1, 1), (2, 1, 1, 12), 40.274599490926974)"
156,156,"((2, 1, 1), (2, 1, 1, 12), 94.58794348738836)","((1, 1, 0), (2, 1, 1, 12), 69.05087025793935)","((2, 0, 2), (1, 1, 2, 12), 348.67054539600946)","((2, 0, 2), (2, 1, 0, 12), 11.022610251440376)","((2, 0, 2), (0, 1, 2, 12), 64.59574629098262)","((2, 2, 1), (1, 1, 2, 12), 316.39923704510045)","((1, 0, 1), (2, 1, 1, 12), 98.71267887680929)","((1, 1, 1), (0, 0, 2, 12), 40.31983563996976)"
157,157,"((0, 2, 2), (1, 1, 2, 12), 94.66451731855271)","((1, 1, 1), (2, 1, 0, 12), 69.18511120362763)","((1, 1, 1), (2, 1, 2, 12), 348.7004415246654)","((1, 0, 0), (2, 1, 2, 12), 11.02567936959731)","((2, 2, 1), (0, 2, 2, 12), 64.689351467089)","((2, 1, 2), (2, 1, 2, 12), 316.6379147983676)","((2, 0, 1), (2, 1, 1, 12), 98.76058221793114)","((2, 2, 0), (2, 2, 0, 12), 40.38488515386253)"
158,158,"((1, 0, 1), (2, 1, 2, 12), 94.66921749829348)","((1, 0, 1), (2, 1, 1, 12), 69.24986419182409)","((2, 2, 0), (2, 1, 0, 12), 348.7323667658095)","((1, 0, 2), (2, 1, 1, 12), 11.099528488585278)","((1, 0, 2), (2, 1, 0, 12), 64.74061884097708)","((2, 1, 1), (2, 1, 0, 12), 316.9328291358916)","((1, 0, 2), (2, 1, 1, 12), 98.80342956857505)","((2, 1, 2), (0, 1, 2, 12), 40.38681717839175)"
159,159,"((1, 1, 1), (2, 1, 0, 12), 94.79949305396757)","((0, 0, 2), (2, 1, 1, 12), 69.29254719635676)","((2, 1, 1), (1, 1, 2, 12), 348.7840264329111)","((2, 0, 0), (1, 1, 2, 12), 11.260930550539042)","((2, 0, 2), (2, 0, 0, 12), 64.74285395102066)","((0, 1, 1), (2, 1, 2, 12), 316.9499718505237)","((0, 0, 2), (2, 1, 0, 12), 98.85020188823019)","((2, 0, 2), (0, 2, 2, 12), 40.425690046022346)"
160,160,"((0, 0, 1), (2, 1, 1, 12), 94.8036758947911)","((2, 1, 1), (2, 1, 2, 12), 69.37016108669569)","((2, 1, 2), (2, 1, 0, 12), 349.57460178658033)","((2, 1, 0), (2, 0, 0, 12), 11.435655723740576)","((2, 0, 0), (1, 1, 2, 12), 64.81405156418231)","((1, 2, 1), (0, 1, 2, 12), 317.105363998073)","((1, 1, 0), (0, 1, 2, 12), 98.87656702817722)","((1, 1, 0), (2, 1, 1, 12), 40.482657836954466)"
161,161,"((1, 2, 2), (2, 1, 2, 12), 94.95727203745702)","((1, 2, 2), (1, 1, 2, 12), 69.4635020873209)","((1, 2, 1), (2, 1, 0, 12), 350.4362030108449)","((2, 1, 1), (0, 1, 2, 12), 11.438165203629108)","((2, 1, 2), (0, 2, 2, 12), 64.83705411422459)","((2, 2, 1), (2, 1, 1, 12), 317.56723506754037)","((1, 1, 1), (2, 1, 1, 12), 98.94922893181531)","((1, 2, 1), (2, 2, 0, 12), 40.51058121520715)"
162,162,"((2, 0, 1), (2, 1, 1, 12), 95.03601166652838)","((1, 2, 1), (1, 1, 2, 12), 69.49437697178037)","((2, 1, 2), (2, 1, 1, 12), 350.71018998810405)","((1, 0, 1), (2, 0, 2, 12), 11.554462617116888)","((1, 2, 1), (2, 2, 0, 12), 64.90418488593619)","((1, 0, 1), (0, 1, 2, 12), 317.63959175842666)","((0, 0, 0), (2, 1, 0, 12), 98.94923835805193)","((1, 2, 1), (0, 2, 2, 12), 40.52866485175945)"
163,163,"((0, 1, 1), (2, 1, 0, 12), 95.08447950201835)","((2, 2, 1), (2, 2, 2, 12), 69.74655258291351)","((2, 2, 0), (2, 1, 2, 12), 350.71408752319235)","((0, 1, 1), (2, 1, 1, 12), 11.60475623728101)","((0, 2, 2), (2, 2, 0, 12), 64.93429527006953)","((1, 1, 1), (1, 1, 2, 12), 317.7363159566803)","((1, 1, 1), (2, 1, 0, 12), 99.28598650571138)","((0, 1, 2), (2, 2, 2, 12), 40.53358113495827)"
164,164,"((2, 1, 0), (2, 1, 2, 12), 95.33000821348864)","((2, 1, 0), (1, 1, 2, 12), 69.89229720875348)","((0, 1, 1), (2, 1, 2, 12), 351.49499390862474)","((2, 0, 2), (1, 0, 2, 12), 11.61374880783303)","((1, 1, 1), (2, 0, 1, 12), 64.93466600755843)","((0, 2, 1), (0, 1, 2, 12), 317.77085808503125)","((2, 0, 1), (1, 1, 2, 12), 99.37997846466146)","((2, 0, 2), (1, 2, 2, 12), 40.597073962466155)"
165,165,"((1, 1, 2), (1, 1, 2, 12), 95.46432959905567)","((2, 2, 1), (0, 1, 2, 12), 69.96302642777141)","((2, 1, 1), (2, 1, 2, 12), 351.6772040856073)","((2, 0, 2), (1, 0, 0, 12), 11.633168999880596)","((2, 0, 2), (1, 2, 2, 12), 64.95912883564782)","((2, 1, 0), (2, 1, 0, 12), 317.9772702780711)","((0, 1, 1), (2, 1, 0, 12), 99.4028250485589)","((1, 0, 1), (2, 2, 2, 12), 40.61828062704548)"
166,166,"((0, 2, 2), (2, 1, 2, 12), 95.60610933460836)","((2, 2, 0), (0, 2, 2, 12), 70.00449479417992)","((0, 2, 2), (0, 1, 2, 12), 351.91534369166214)","((2, 1, 2), (2, 0, 2, 12), 11.657167746361644)","((1, 0, 0), (2, 1, 2, 12), 64.96444331640234)","((2, 2, 2), (2, 1, 1, 12), 317.99886838175576)","((2, 0, 0), (2, 1, 2, 12), 99.41671181929257)","((2, 2, 1), (0, 2, 2, 12), 40.6550393075912)"
167,167,"((2, 1, 2), (2, 1, 0, 12), 95.68957106974662)","((2, 0, 0), (2, 1, 2, 12), 70.09381107835915)","((1, 2, 1), (2, 1, 1, 12), 351.96577171013143)","((0, 0, 2), (2, 0, 2, 12), 11.706478884806153)","((1, 0, 1), (2, 1, 1, 12), 64.97077639169234)","((2, 0, 2), (1, 1, 2, 12), 318.47562469442613)","((2, 1, 0), (2, 1, 2, 12), 99.56771953338183)","((1, 0, 1), (2, 0, 2, 12), 40.713088134045236)"
168,168,"((2, 1, 0), (2, 1, 1, 12), 95.73869018564599)","((2, 1, 1), (2, 1, 1, 12), 70.16798811135062)","((1, 2, 2), (2, 1, 0, 12), 352.2585943535047)","((2, 0, 0), (1, 0, 2, 12), 11.712266004788155)","((1, 1, 2), (2, 0, 0, 12), 65.00005620591435)","((1, 1, 1), (2, 1, 2, 12), 318.6011043540356)","((2, 2, 1), (2, 1, 0, 12), 99.6022048525208)","((2, 0, 2), (1, 1, 2, 12), 40.74778792302938)"
169,169,"((0, 0, 2), (2, 1, 0, 12), 95.77593777140251)","((2, 1, 2), (2, 1, 1, 12), 70.25806036201725)","((2, 0, 0), (2, 1, 0, 12), 353.14602334255335)","((0, 0, 0), (1, 2, 2, 12), 11.77669511197965)","((1, 1, 1), (2, 2, 2, 12), 65.00293205956132)","((0, 0, 1), (1, 1, 2, 12), 318.64221118686584)","((2, 1, 2), (0, 1, 2, 12), 99.88111757423482)","((0, 2, 2), (2, 1, 2, 12), 40.78268358450545)"
170,170,"((1, 2, 1), (0, 1, 2, 12), 95.9014819828471)","((0, 0, 0), (2, 1, 1, 12), 70.36109454750233)","((1, 1, 0), (2, 1, 0, 12), 353.5347875467307)","((1, 1, 2), (1, 1, 0, 12), 11.822431644943215)","((1, 2, 2), (2, 2, 0, 12), 65.02429266853727)","((2, 1, 2), (2, 1, 0, 12), 318.64914195212884)","((2, 2, 1), (2, 1, 1, 12), 99.89285286623672)","((2, 2, 1), (2, 2, 0, 12), 40.79996065902478)"
171,171,"((0, 2, 0), (0, 2, 2, 12), 95.99208028959647)","((2, 1, 0), (2, 1, 1, 12), 70.41046365707462)","((1, 2, 2), (2, 1, 1, 12), 353.7575078329521)","((2, 1, 0), (2, 1, 0, 12), 11.837028455056645)","((1, 0, 2), (1, 0, 0, 12), 65.0371071354619)","((1, 0, 2), (2, 1, 2, 12), 318.8893625145749)","((1, 1, 1), (2, 1, 2, 12), 99.98250825249727)","((1, 2, 2), (0, 2, 2, 12), 40.81969826602765)"
172,172,"((2, 1, 2), (0, 1, 2, 12), 96.08010970415785)","((1, 0, 1), (2, 1, 2, 12), 70.53253078521229)","((1, 1, 0), (2, 1, 1, 12), 354.1927878687086)","((1, 1, 1), (1, 1, 1, 12), 11.853280582198263)","((2, 0, 1), (1, 0, 0, 12), 65.081900394036)","((2, 0, 0), (2, 1, 0, 12), 318.8964096303513)","((1, 1, 0), (1, 1, 2, 12), 100.0235685757602)","((2, 0, 2), (2, 0, 2, 12), 40.85487383506023)"
173,173,"((1, 2, 2), (1, 1, 2, 12), 96.08163957608295)","((1, 1, 2), (2, 1, 0, 12), 70.57446809909362)","((1, 1, 0), (0, 1, 2, 12), 354.3827675293554)","((1, 1, 1), (1, 1, 2, 12), 11.90167781478882)","((2, 0, 1), (0, 0, 1, 12), 65.09207668512349)","((2, 1, 1), (1, 1, 2, 12), 318.9187520637333)","((1, 2, 1), (1, 1, 2, 12), 100.08493121849872)","((0, 0, 2), (2, 1, 2, 12), 40.8599086368088)"
174,174,"((2, 1, 1), (2, 1, 2, 12), 96.25843249068033)","((0, 0, 1), (2, 1, 1, 12), 70.59513911054691)","((2, 0, 0), (2, 1, 1, 12), 354.3965193128729)","((1, 1, 2), (2, 0, 2, 12), 11.96175080791828)","((1, 0, 1), (1, 0, 1, 12), 65.2059441140672)","((1, 2, 1), (1, 1, 2, 12), 319.39861820858385)","((0, 0, 1), (2, 1, 2, 12), 100.08718118408373)","((2, 0, 2), (2, 0, 1, 12), 40.974213662787044)"
175,175,"((1, 1, 1), (2, 1, 1, 12), 96.26871613307715)","((2, 0, 2), (2, 1, 1, 12), 70.64688018188363)","((2, 0, 2), (2, 1, 1, 12), 354.42764672873875)","((2, 1, 1), (1, 1, 0, 12), 11.973163125644792)","((1, 0, 2), (0, 0, 1, 12), 65.3076765428406)","((0, 2, 1), (1, 1, 2, 12), 319.66570917391783)","((1, 2, 2), (1, 1, 2, 12), 100.14943987009977)","((2, 1, 1), (2, 1, 2, 12), 40.99926149962194)"
176,176,"((2, 2, 1), (2, 1, 0, 12), 96.3076360148789)","((0, 0, 1), (2, 1, 2, 12), 70.65149636969824)","((2, 0, 2), (2, 1, 0, 12), 354.6142349120853)","((2, 0, 0), (0, 1, 0, 12), 12.028546893364878)","((0, 0, 2), (2, 1, 1, 12), 65.42272262810202)","((2, 2, 1), (2, 1, 2, 12), 319.9722599794519)","((2, 2, 2), (0, 1, 2, 12), 100.2086465417841)","((2, 2, 1), (2, 1, 0, 12), 41.051012097682886)"
